Gene
IL23R
IL27RA
H9GUX5
H9GVB8
BRAFLDRAFT_208006
BRAFLDRAFT_207847
BRAFLDRAFT_171742
CBG26385
K7GNK3
CD1A8
ITGA6
CTLA4
IL6ST
CD6
H9GSC2
F7BI68
LOC720452
CD90
IGHE
H9GTB3
LOC723031
MPL
TcasGA2_TC011873
H9H5Y0
LOC100049798
CD248
LOC111773919
BTNL9
XCR1
CCR3
ACKR3
CD14
itgae
H9G3E8
F7AGJ6
IL5RA
CD3D
CXCR4
TFRC
rtbdn
CBG08168
XCR1
clec-87
BRAFLDRAFT_126362
LOC103282586
LOC103282812
CD244
H9GBT0
F7AWH6
CD3E
il11ra
LOC100016794
H9G4D3
ITGAV
H9G6M5
H9G6T0
CD1D
CD79B
LOC718378
ITGAD
H9GZV0
LOC100183675
clec-91
ICOSLG
F7BD85
GFRA1
CXCL12
H9GHS9
ITGA5
LOC100153163
CD274
XENTR_v90025988mg
ADAM21
XENTR_v90030988mg
ITGA9
J9P9J6
BTN1A1
XENTR_v90030536mg
CCR7
THY1
CD244
LOC100156074
XENTR_v90030125mg
CD209
J9PAX5
CX3CR1
BRAFLDRAFT_222970
IL13RA2
IL12RB1
LOC100521998
EBI3
MR1
XENTR_v900261781mg
IL5RA
KLRC3
CNTFR
LIFR
OSMR
ITGA1
ITGA2
IL12RB1
ACKR3
IL31RA
GFRA4
CD27
FAS
CLEC17A
CD28
F1SBJ8
ASGR1
CXCR5
VTCN1
CD3E
MICB
SCART1
I3LPP0
A0A3Q2KQ74
CCR5
CLEC6A
E1BCU8
IL6ST
FCER1G
HHLA2
E1BC77
CD248
IL21R
CXCR4
LY6G5B
LOC101094232
CLEC4A
CLEC4F
LIFR
SLAMF6
A0A2I2UN09
F6W8X6
DAPPUDRAFT_314097
DAPPUDRAFT_314099
CSF3R
ITGA1
LOC111556282
E1B977
VTCN1
LOC101081297
E1B7I3
CLEC4G
E1B780
IZUMO1R
XENTR_v90026714mg
XENTR_v90030118mg
XENTR_v90030124mg
XENTR_v90030126mg
XENTR_v90030130mg
A0A2I2U6J0
XENTR_v900308926mg
XENTR_v900257861mg
XENTR_v900257863mg
IL13RA1
A0A2I2U5I5
XENTR_v90029185mg
IL5RA
MHCX1
A0A2I2U465
PRLR
A0A2I2U3F6
FAS
CD1b1
CD1a5
SELE
CCR9
IL13RA2
A0A2I2U9N6
XENTR_v90030981mg
XENTR_v90030992mg
XENTR_v90030989mg
XENTR_v90030983mg
XENTR_v90030993mg
XENTR_v90030996mg
ACKR2
LOC101085650
DAPPUDRAFT_299512
CD86
THY1
LIFR
LOC100178291
DAPPUDRAFT_315928
DAPPUDRAFT_223483
DAPPUDRAFT_316109
F6WJ49
TFR2
IL7R
A0A2I3SB50
LOC100564895
LOC100556992
LOC100564496
LOC100552615
spn
R4GB17
PDCD1LG2
cd19
BRAFLDRAFT_187602
BRAFLDRAFT_284837
F7ASQ3
BRAFLDRAFT_125709
BRAFLDRAFT_152054
BRAFLDRAFT_231168
GP5
F7AM28
F7AMG1
CNTN3
H9G9Y9
F7ANY5
BRAFLDRAFT_208572
